SubID,Group,Pre_ERD,Post_ERD,Change_ERD
1,Haptic,0.3384349,-0.2638741,-0.602309
2,NonHaptic,-1.21081,0.4720688,1.682879
3,Haptic,-2.423627,-1.3126,1.111027
4,NonHaptic,-1.580023,-1.31996,0.2600626
5,Haptic,-0.6459951,-0.4417652,0.2042299
6,NonHaptic,-0.01871488,-0.4769515,-0.4582366
7,Haptic,-1.678295,0.3009273,1.979223
8,NonHaptic,-0.6061524,0.709444,1.315596
9,Haptic,-1.003735,-0.1015616,0.902173
10,NonHaptic,-1.321619,-0.1908121,1.130807
11,Haptic,-1.193534,-1.483318,-0.2897844
12,NonHaptic,-0.8445899,-2.500871,-1.656281
13,Haptic,-0.5239154,-0.4671993,0.05671602
14,NonHaptic,0.3132889,-0.69399,-1.007279
15,Haptic,0.4831336,0.2793432,-0.2037904
16,NonHaptic,-2.580747,-2.401442,0.1793053
17,Haptic,-2.436869,0.1438506,2.58072
18,NonHaptic,-1.143763,-1.63239,-0.4886267
19,Haptic,0.9093792,0.1752112,-0.7341681
20,NonHaptic,-0.6042064,-1.329805,-0.7255986
21,Haptic,-0.3345482,-0.02607429,0.3084739
22,NonHaptic,-0.5038185,0.1557496,0.6595681
23,Haptic,-1.217733,-1.040965,0.1767678
24,NonHaptic,-0.4843732,-0.1229557,0.3614175
25,Haptic,-0.5627807,-1.971345,-1.408564
26,NonHaptic,-1.410747,-1.110285,0.3004619
27,Haptic,-0.8618698,-1.455885,-0.5940155
28,NonHaptic,0.5609697,-1.140668,-1.701638
29,Haptic,-0.9658201,-2.437902,-1.472082
30,NonHaptic,-0.5055085,-1.473329,-0.9678205
31,Haptic,-2.180027,-0.7089728,1.471055
32,NonHaptic,-0.8281468,-0.9165645,-0.08841765
33,Haptic,-0.7565172,-0.01867367,0.7378435
34,NonHaptic,-1.027906,0.9006277,1.928534
35,Haptic,-1.260871,-0.2573143,1.003556
36,NonHaptic,-0.9397832,-1.769884,-0.8301009
37,Haptic,-1.991877,0.4936738,2.485551
38,NonHaptic,0.05474354,0.127349,0.07260548
39,Haptic,-1.672919,0.6048582,2.277777
40,NonHaptic,0.06909635,0.2837527,0.2146564
41,Haptic,-2.232782,-2.963889,-0.7311077
42,NonHaptic,0.730951,0.2637167,-0.4672343
43,Haptic,-2.907336,-1.461067,1.446269
44,NonHaptic,-1.132749,-0.1663642,0.9663845
