SubID,Group,Pre_Onset,Post_Onset,Pre_Slope,Post_Slope
1,Haptic,0.386154461784714,1.05042016806723,-1.425424,-7.844222
2,NonHaptic,0.294117647058824,NaN,-11.1204,0
3,Haptic,0.270108043217287,0.278111244497799,-16.10293,-2.041395
4,NonHaptic,0.0980392156862745,0.17406962785114,-5.4141,-7.951241
5,Haptic,0.0460184073629452,0.0420168067226891,-6.660582,-6.685559
6,NonHaptic,NaN,0.178071228491397,0,-6.097793
7,Haptic,0.00200080032012805,1.38255302120848,-3.351551,-6.497967
8,NonHaptic,NaN,0.0340136054421769,0,-2.476132
9,Haptic,0.538215286114446,0.306122448979592,-3.343298,-10.31852
10,NonHaptic,0.00200080032012805,0.00200080032012805,-0.6919394,-4.704799
11,Haptic,2.75510204081633,2.25890356142457,-2.46736,-3.525643
12,NonHaptic,0.078031212484994,0.00200080032012805,-6.970737,-8.605454
13,Haptic,0.078031212484994,0.234093637454982,-10.05236,-18.15492
14,NonHaptic,NaN,0.202080832332933,0,-1.235849
15,Haptic,0.890356142456983,0.342136854741897,-5.72622,-0.6988275
16,NonHaptic,0.322128851540616,0.290116046418567,-0.4100361,-0.7088555
17,Haptic,0.906362545018007,0.230092036814726,-0.2689753,-2.032745
18,NonHaptic,0.17406962785114,0.0420168067226891,-14.07241,-19.76622
19,Haptic,0.270108043217287,0.0620248099239696,-12.83608,-6.447924
20,NonHaptic,0.382152861144458,0.130052020808323,-2.838138,-8.894822
21,Haptic,0.126050420168067,0.0180072028811525,-15.36767,-9.858503
22,NonHaptic,0.294117647058824,0.0620248099239696,-4.1736,-3.946479
23,Haptic,0.15406162464986,0.222088835534214,-2.0978,-11.87546
24,NonHaptic,0.0980392156862745,0.0220088035214086,-2.715544,-3.55185
25,Haptic,0.146058423369348,0.0580232092837135,-10.11698,-7.160875
26,NonHaptic,NaN,0.278111244497799,0,-1.404563
27,Haptic,NaN,0.00200080032012805,0,-2.313987
28,NonHaptic,1.12645058023209,1.79071628651461,-1.228105,-1.937977
29,Haptic,0.202080832332933,0.350140056022409,-0.6288895,-0.7516475
30,NonHaptic,0.186074429771909,0.210084033613445,-7.825152,-13.7706
31,Haptic,NaN,0.258103241296519,0,-8.167584
32,NonHaptic,0.134053621448579,0.354141656662665,-10.40516,-4.994995
33,Haptic,0.746298519407763,1.08243297318928,-1.164527,-1.650187
34,NonHaptic,0.278111244497799,0.194077631052421,-1.151307,-6.352855
35,Haptic,0.402160864345738,NaN,-12.1055,0
36,NonHaptic,NaN,NaN,0,0
37,Haptic,2.05882352941176,0.158063225290116,0,-2.375788
38,NonHaptic,0.86234493797519,0.806322529011605,-2.145379,-5.341092
39,Haptic,0.334133653461385,0.250100040016006,-2.102762,-0.793227
40,NonHaptic,0.410164065626251,0.126050420168067,-2.061887,-13.85794
41,Haptic,0.366146458583433,1.04641856742697,-12.64369,-3.315135
42,NonHaptic,0.00200080032012805,0.186074429771909,-5.893642,-6.253961
43,Haptic,0.0980392156862745,0.17406962785114,-9.70776,-5.284264
44,NonHaptic,0.386154461784714,0.690276110444178,-2.966352,-0.9216785
