channel_name,channel_index,mean_abs_shap
['Oz'],14,3.218376825640562
['POz'],43,1.6087665452138873
['P6'],46,1.5767871617796474
['F8'],26,1.4710167274372645
['P5'],40,1.4461298776981562
['F6'],55,0.708594997772169
['FC6'],23,0.6523233079096413
['O2'],15,0.6338888920070247
['AF8'],56,0.6001075144177878
['P3'],11,0.4907311738890202
['C3'],6,0.3927915878595931
['PO4'],44,0.38776588342466634
['P2'],47,0.3730362806879858
['PO8'],45,0.29081963256463655
['PO3'],42,0.2822470716127691
['Fp1'],0,0.2640754955681254
['FCz'],59,0.2585648024847235
['CP1'],9,0.21333117669780025
['P8'],17,0.18847390140610468
['F7'],3,0.17937554604624056
['P4'],16,0.16828593153543372
['TP8'],50,0.13209316132642085
['F3'],2,0.1306273501623715
['T7'],7,0.09899135694987175
['Pz'],10,0.09603246330218604
['C6'],51,0.09348251983888586
['P7'],12,-0.007923388351068124
['AF7'],28,-0.020458831895977747
['AF4'],57,-0.036334924257685086
['F1'],31,-0.05384618966063514
['C2'],52,-0.09832048841942358
['CP4'],49,-0.10081890192937884
['CPz'],48,-0.10405259007888519
['T8'],22,-0.14440668447940588
['FC1'],5,-0.1868824838909508
['FT7'],33,-0.1983036742958454
['F2'],58,-0.257537105854053
['CP6'],18,-0.30027839203531764
['CP2'],19,-0.3147706701409772
['O1'],13,-0.3257615943075045
['CP5'],8,-0.39373733670466493
['FC2'],24,-0.3998128509161934
['PO7'],41,-0.43438817663146306
['C4'],21,-0.44179030017763904
['F5'],32,-0.4979415738680319
['TP7'],37,-0.5213104475231825
['FC4'],53,-0.527029489349822
['Fz'],1,-0.5335182836534629
['P1'],39,-0.5583061450903914
['F4'],25,-0.6533546821983662
['FC3'],34,-0.6556761499901808
['C1'],35,-0.7418126228591843
['CP3'],38,-0.7709430980410692
['C5'],36,-0.8329924592644455
['Cz'],20,-0.842369171613173
['AFz'],30,-0.8807504376237953
['AF3'],29,-0.9033982740415509
['Fp2'],27,-0.9710141252764634
['FT8'],54,-0.9752501436344164
['FC5'],4,-1.2716254971783723
